Plant index,Plant category,Plant name,Plant variety,Germination start,Germination end,Maturity start,Maturity end,Genetics 1,Genetics 2,Genetics 3,Plant depth start,Plant depth end,Plant spacing start,Plant spacing end,Number of plants per space,Other notes
1,Vegetables,Broccoli,Waltham 29,10,21,0,74,Heirloom,Annual,Full Sun,0.25,0.25,16.0,16.0,1.0,none
2,Fruits,Tomato,Baxter's Bush Cherry,7,10,0,0,Heirloom,Annual,Full Sun,0.25,0.25,36.0,36.0,1.0,determinate
3,Vegetables,Tomato,Roma,7,10,80,90,Hybrid,Annual,Full Sun,0.25,0.25,24.0,36.0,1.0,determinate
4,Vegetables,Pepperoncini,Greek Hot Pepper,10,21,0,65,Heirloom,Annual,Full Sun,0.25,0.25,18.0,24.0,1.0,none
5,Herbs,Rosemary,Rosemary,14,21,90,400,Heirloom,Perennial,Full Sun,0.25,0.25,18.0,18.0,3.0,"none

"
6,Vegetables,Tomato,San Marzano,0,0,80,80,Heirloom,Annual,Full Sun,0.25,0.25,24.0,24.0,1.0,Indeterminate
7,Vegetables,Tomato,Big Red,0,0,0,0,Unknown,Annual,Full Sun,0.0,0.0,0.0,0.0,1.0,"nones
"
8,Vegetables,Squash,Yellow Summer CrookNeck,7,10,53,53,Heirloom,Annual,Full Sun,1.0,1.0,36.0,48.0,3.0,none
9,Vegetables,Carrot,Imperator 58,0,0,68,68,Heirloom,Annual,Partial Sun,0.13,0.25,2.0,2.0,1.0,"roughly 9"" deep orange carrot "
10,Vegetables,Lettuce,Green Salad Bowl Lactuca Sativa,0,0,45,50,Heirloom,Annual,Partial Sun,0.13,0.13,8.0,10.0,1.0,none
11,Vegetables,Beet,"Detroit Dark Red, Medium Top",14,21,59,59,Heirloom,Annual,Full Sun,0.5,0.5,3.0,12.0,1.0,none
12,Herbs,Cilantro,Long Standing Santo,10,15,21,28,Heirloom,Annual,Full Sun,0.5,0.5,6.0,6.0,3.0,none
13,Herbs,Basil,Basil,0,0,0,0,Heirloom,Annual,Full Sun,0.25,0.25,1.0,3.0,1.0,"soak seeds in water for 12-24 hours to expedite germination
"
14,Vegetables,Bush Bean,Blue Lake,0,0,55,55,Heirloom,Annual,"Full Sun, Partial Sun",0.5,0.5,3.0,3.0,1.0,none
15,Vegetables,Bush Bean,Topnotch Golden Wax,8,16,50,65,Heirloom,Annual,Full Sun,2.0,2.0,2.0,3.0,1.0,"can succession plant these
"
16,Vegetables,Marigold,Happy Days Mixed Colors,7,14,60,70,Heirloom,Annual,Full Sun,0.25,0.25,9.0,12.0,1.0,none
17,Herbs,Thyme,Common (Thymus Vulgaris),8,20,80,85,Heirloom,Perennial,Full Sun,0.25,0.25,8.0,8.0,1.0,none
18,Herbs,Oregano,Greek,0,0,56,56,Heirloom,Perennial,Full Sun,0.75,0.75,12.0,12.0,1.0,none
19,Vegetables,Arugula,Roquette,5,7,0,40,Heirloom,Annual,"Full Sun, Partial Sun",0.15,0.15,6.0,6.0,1.0,"plant in 2-4"" dense bands for baby greens or 6"" apart for full size plants
"
20,Vegetables,Tomato,Cherokee Purple,7,10,82,82,Heirloom,Annual,Full Sun,0.25,0.25,24.0,24.0,1.0,none
21,Herbs,Fenugreek,Fenugreek,0,0,30,30,Heirloom,Perennial,Full Sun,0.25,0.25,6.0,6.0,1.0,none
22,Herbs,Chicory,Oasis,0,0,45,50,Heirloom,Perennial,"Full Sun, Partial Sun",1.0,1.0,12.0,12.0,1.0,none
23,Vegetables,Pea,Oregon Sugar Pod II,7,14,68,68,Heirloom,Annual,Full Sun,1.0,1.0,4.0,6.0,1.0,none
24,Vegetables,Tomato,Abe Lincoln,0,0,0,0,Heirloom,Annual,Full Sun,0.0,0.0,18.0,24.0,1.0,"harvested seeds from plants planted from ebay seeds the year prior.
"
25,Vegetables,Swiss Chard,Ruby Red,0,0,0,0,Heirloom,Annual,Full Sun,0.0,0.0,0.0,0.0,1.0,"This abundant producer will bear crops all summer long and into the fall. Use Ruby Red Swiss Chard in salads or steam it for a delicious and nutritious side dish. Brilliant red stems & veins, with green leaves.

Cold Tolerant, Drought Tolerant, Heat Tolerant, Outdoor.

Container Garden, Culinary.

Fast Growing.  
"
26,Vegetables,Onion,Yellow store bought propogation,0,0,0,0,Heirloom,Annual,Full Sun,0.0,0.0,0.0,0.0,1.0,none
27,Vegetables,Potato,Unknown,0,0,0,0,Unknown,Annual,Full Sun,3.0,6.0,6.0,18.0,6.0,"mix of small potato organic variety 
"
28,Vegetables,Garlic,Unknown,0,0,0,0,Unknown,Annual,Full Sun,3.0,6.0,3.0,3.0,1.0,none
29,Vegetables,Onion,Yellow 1015,0,0,0,0,Heirloom,Annual,Full Sun,0.25,0.5,3.0,6.0,69.0,none
30,Vegetables,SunChoke,Jerusulum artichoke,0,0,0,0,Heirloom,Perennial,Full Sun,0.0,0.0,0.0,0.0,1.0,none
31,Vegetables,Asparagus,unknown,0,0,0,0,Heirloom,Perennial,Full Sun,0.0,0.0,0.0,0.0,1.0,none
32,Flowers,Marigold,Happy Days Mixed,0,0,0,0,Heirloom,Annual,Full Sun,0.25,0.5,0.0,0.0,1.0,none
